A,T,r1,r2
0.17453292519943295,3.0,-0.11006268522546644,-0.1680758754648766
0.17453292519943295,3.2142857142857144,-0.10001615542936504,-0.15248799817159925
0.17453292519943295,3.4285714285714284,-0.08816854997160256,-0.13841301044457832
0.17453292519943295,3.642857142857143,-0.07899693699478981,-0.1275118184632378
0.17453292519943295,3.857142857142857,-0.07105206961931838,-0.1178073923946652
0.17453292519943295,4.071428571428571,-0.06490961803024102,-0.10879264141267993
0.17453292519943295,4.285714285714286,-0.0600401532752593,-0.10143425704870895
0.17453292519943295,4.5,-0.05671333249106695,-0.09542556496222593
0.17453292519943295,4.714285714285714,-0.053250382966566416,-0.08994234121775299
0.17453292519943295,4.928571428571429,-0.0501800102104797,-0.08475220439440131
0.17453292519943295,5.142857142857142,-0.047416985258201434,-0.08005708934494585
0.17453292519943295,5.357142857142858,-0.04524669064782827,-0.07598814772967115
0.17453292519943295,5.571428571428571,-0.04301692386651741,-0.0724515222593598
0.17453292519943295,5.785714285714286,-0.04093317139716301,-0.06925103051734997
0.17453292519943295,6.0,-0.03907691312486105,-0.06623162261602135
0.19234240736264038,3.0,-0.10447201995687715,-0.19222129553534548
0.19234240736264038,3.2142857142857144,-0.08037212926468798,-0.1738608406817643
0.19234240736264038,3.4285714285714284,-0.10655278128026127,-0.15728227034229827
0.19234240736264038,3.642857142857143,-0.09315143645282872,-0.1445451361665158
0.19234240736264038,3.857142857142857,-0.08391210221282391,-0.13324716984941484
0.19234240736264038,4.071428571428571,-0.07499911895623139,-0.12275750436597502
0.19234240736264038,4.285714285714286,-0.06900951089725496,-0.11424014580837347
0.19234240736264038,4.5,-0.06457230130325951,-0.10732347110375151
0.19234240736264038,4.714285714285714,-0.06024009544211735,-0.10101252185228915
0.19234240736264038,4.928571428571429,-0.05666653291180258,-0.09503222888973396
0.19234240736264038,5.142857142857142,-0.05303893095198316,-0.08963435595535535
0.19234240736264038,5.357142857142858,-0.050323012602063046,-0.08498234011122684
0.19234240736264038,5.571428571428571,-0.048057336199929905,-0.08096404855572512
0.19234240736264038,5.785714285714286,-0.045915037615393596,-0.07734170116335277
0.19234240736264038,6.0,-0.04410033988210078,-0.07392697854300789
0.21015188952584785,3.0,-0.15183380891018283,-0.21807619679135637
0.21015188952584785,3.2142857142857144,-0.1221317948496078,-0.19667595704116958
0.21015188952584785,3.4285714285714284,-0.09072806629122125,-0.1773517089652446
0.21015188952584785,3.642857142857143,-0.10752897696663079,-0.16260542803027378
0.21015188952584785,3.857142857142857,-0.09868955828725474,-0.14956748651215435
0.21015188952584785,4.071428571428571,-0.08674548096914866,-0.13746917065826253
0.21015188952584785,4.285714285714286,-0.08049280030470776,-0.12768955127378695
0.21015188952584785,4.5,-0.07428154796029668,-0.11978547981987878
0.21015188952584785,4.714285714285714,-0.06843101970693152,-0.11257485131166906
0.21015188952584785,4.928571428571429,-0.06371153046564204,-0.10573607788125515
0.21015188952584785,5.142857142857142,-0.05920869045526718,-0.09957606046351312
0.21015188952584785,5.357142857142858,-0.05615047109383751,-0.09429387953983727
0.21015188952584785,5.571428571428571,-0.05347530766928414,-0.08975731079651018
0.21015188952584785,5.785714285714286,-0.05085220472864635,-0.085682749230359
0.21015188952584785,6.0,-0.04861938427480443,-0.08184518894574581
0.22796137168905528,3.0,-0.18854776344278368,-0.24569598889135089
0.22796137168905528,3.2142857142857144,-0.1688588550344236,-0.22098811840657392
