A,T,rl_no_obs,smc_no_obs,rl_obs,smc_obs
0.17453292519943295,3.0,-3964.526941501084,-2.304371294931613,-2.3643815578373406,-2.304371294931613
0.17453292519943295,3.2142857142857144,-16.56112947840843,-2.4516807955480027,-1.5662833130326799,-2.4516807955480027
0.17453292519943295,3.4285714285714284,-18.957631839044854,-2.5980786304599355,-1.311984905196712,-2.5980786304599355
0.17453292519943295,3.642857142857143,-110.39064774250448,-2.6637268329004065,-1.3367647682519461,-2.6637268329004065
0.17453292519943295,3.857142857142857,-17.293540972139755,-2.6674128030563824,-1.369878761812452,-2.6674128030563824
0.17453292519943295,4.071428571428571,-5772.841070289636,-2.643215420257874,-1.4969394630577537,-2.643215420257874
0.17453292519943295,4.285714285714286,-140.1608807650752,-2.6142779805815612,-1.62567219884851,-2.6142779805815612
0.17453292519943295,4.5,-124.00587419882353,-2.5937402186531564,-1.4771638933717663,-2.5937402186531564
0.17453292519943295,4.714285714285714,-21.655449448404518,-2.5823711967303424,-1.562010581314415,-2.5823711967303424
0.17453292519943295,4.928571428571429,-17.496657705782816,-2.576901255464465,-1.4482732126841098,-2.576901255464465
0.17453292519943295,5.142857142857142,-110.76551830319393,-2.575267002381136,-1.3546359013062401,-2.575267002381136
0.17453292519943295,5.357142857142858,-19.061843803114616,-2.576514981874155,-1.2884032630094444,-2.576514981874155
0.17453292519943295,5.571428571428571,-117.9232270460852,-2.5797350780897985,-1.293871318853526,-2.5797350780897985
0.17453292519943295,5.785714285714286,-17.942755299771836,-2.583714943696876,-1.3924453596914943,-2.583714943696876
0.17453292519943295,6.0,-142.14584675563117,-2.5873542645093153,-1.4889309425562158,-2.5873542645093153
0.19234240736264038,3.0,-164.47530713803158,-2.290556293853871,-2.2559435247279014,-2.290556293853871
0.19234240736264038,3.2142857142857144,-124.0148041783373,-2.4514270614342992,-1.6961885884327612,-2.4514270614342992
0.19234240736264038,3.4285714285714284,-104.47491266117493,-2.6120982658526657,-1.2027329407277296,-2.6120982658526657
0.19234240736264038,3.642857142857143,-6450.376900169602,-2.6834143722805113,-1.2345568740044386,-2.6834143722805113
0.19234240736264038,3.857142857142857,-116.25112377344497,-2.6866834363186802,-1.5082559805414937,-2.6866834363186802
0.19234240736264038,4.071428571428571,-111.65697702912713,-2.659446154693733,-1.5089611332974424,-2.659446154693733
0.19234240736264038,4.285714285714286,-111.01528497154275,-2.6266874984522706,-1.5346244317904052,-2.6266874984522706
0.19234240736264038,4.5,-115.54555149812829,-2.6035491569633726,-1.5385409052045784,-2.6035491569633726
0.19234240736264038,4.714285714285714,-124.1348300212016,-2.590645315369054,-1.4625682401025855,-2.590645315369054
0.19234240736264038,4.928571428571429,-21.990477351267756,-2.5840577617679306,-1.537421572615347,-2.5840577617679306
0.19234240736264038,5.142857142857142,-127.85095999003534,-2.581631815465911,-1.5033742590210617,-2.581631815465911
0.19234240736264038,5.357142857142858,-105.47300687560707,-2.582600089935339,-1.2365837126104473,-2.582600089935339
0.19234240736264038,5.571428571428571,-118.99034372799946,-2.5860640624835014,-1.4753830365321587,-2.5860640624835014
0.19234240736264038,5.785714285714286,-16.403636221476596,-2.590554585512418,-1.4135823517970774,-2.590554585512418
0.19234240736264038,6.0,-15.66318738425421,-2.59467663048142,-1.4457622297238923,-2.59467663048142
0.21015188952584785,3.0,-92.56978279247527,-2.2789434831117843,-2.780011765915431,-2.2789434831117843
0.21015188952584785,3.2142857142857144,-630.8356564414847,-2.4531268742694974,-1.8545609025706375,-2.4531268742694974
0.21015188952584785,3.4285714285714284,-88.26561336589369,-2.6280433910842134,-1.241515748351763,-2.6280433910842134
0.21015188952584785,3.642857142857143,-174.2894142858515,-2.704896192034346,-1.2154797482109183,-2.704896192034346
0.21015188952584785,3.857142857142857,-345.9123680234119,-2.707610048815047,-1.3219449814621838,-2.707610048815047
0.21015188952584785,4.071428571428571,-107.94889066647025,-2.6772746798053517,-1.6864800790514258,-2.6772746798053517
0.21015188952584785,4.285714285714286,-19.946148338603763,-2.640514636893454,-1.5270212313762581,-2.640514636893454
0.21015188952584785,4.5,-5803.999076372185,-2.6147145981657776,-1.53191743563215,-2.6147145981657776
0.21015188952584785,4.714285714285714,-121.88494590274527,-2.60026126826433,-1.7038223937969883,-2.60026126826433
0.21015188952584785,4.928571428571429,-121.1306596286597,-2.592470184844459,-1.5780617950595628,-2.592470184844459
0.21015188952584785,5.142857142857142,-121.39799999060769,-2.589118099169061,-1.469722115526377,-2.589118099169061
0.21015188952584785,5.357142857142858,-21.53117532374087,-2.589729220575065,-1.3267199757331836,-2.589729220575065
0.21015188952584785,5.571428571428571,-19.26961034871796,-2.5934577420720895,-1.457789497485202,-2.5934577420720895
0.21015188952584785,5.785714285714286,-15.538113808825578,-2.5985268457718425,-1.2629872258322872,-2.5985268457718425
0.21015188952584785,6.0,-15.90301817857088,-2.603219358372701,-1.4219579149348174,-2.603219358372701
0.22796137168905528,3.0,-764.0435002663886,-2.26956000437257,-3.0582837284750646,-2.26956000437257
0.22796137168905528,3.2142857142857144,-228.28228528022382,-2.4568078790585637,-1.9646401985227164,-2.4568078790585637
0.22796137168905528,3.4285714285714284,-19.57611778346354,-2.64593677450552,-1.2218934940728636,-2.64593677450552
0.22796137168905528,3.642857142857143,-99.19766687180719,-2.7281790845720617,-1.2172598060333308,-2.7281790845720617
0.22796137168905528,3.857142857142857,-5810.577327880686,-2.7301938515934983,-1.3724369241356507,-2.7301938515934983
0.22796137168905528,4.071428571428571,-6947.947470702137,-2.6967140303513473,-1.710621847563793,-2.6967140303513473
0.22796137168905528,4.285714285714286,-337.5068446108102,-2.6557494005653646,-1.530490191329519,-2.6557494005653646
0.22796137168905528,4.5,-17.51020392067247,-2.6272215978561326,-1.5344877155532741,-2.6272215978561326
0.22796137168905528,4.714285714285714,-21.20466712039472,-2.6112110515936804,-1.543700561538928,-2.6112110515936804
0.22796137168905528,4.928571428571429,-89.69881834342621,-2.6021253023442457,-1.715876489244153,-2.6021253023442457
0.22796137168905528,5.142857142857142,-103.13372736307613,-2.597693530329345,-1.6414385090499435,-2.597693530329345
0.22796137168905528,5.357142857142858,-18.881948173903545,-2.5978541994755155,-1.4498674359568322,-2.5978541994755155
0.22796137168905528,5.571428571428571,-7045.67098661858,-2.6018586856908916,-1.437076554729277,-2.6018586856908916
0.22796137168905528,5.785714285714286,-132.2150614293164,-2.607569690964246,-1.4035258361246974,-2.607569690964246
0.22796137168905528,6.0,-13.992465498099131,-2.6129017005665625,-1.4181868747412285,-2.6129017005665625
0.24577085385226272,3.0,-14.99944496880881,-2.2624313367148687,-2.8542462317736073,-2.2624313367148687
0.24577085385226272,3.2142857142857144,-16.40141545928274,-2.462497916000285,-1.9084285684305529,-2.462497916000285
0.24577085385226272,3.4285714285714284,-3072.5176975020927,-2.6658021233914373,-1.406851853916067,-2.6658021233914373
0.24577085385226272,3.642857142857143,-345.49251765639883,-2.7532771255377106,-1.3622857916254258,-2.7532771255377106
0.24577085385226272,3.857142857142857,-5686.703326465173,-2.754443899333005,-1.4250966958000295,-2.754443899333005
0.24577085385226272,4.071428571428571,-44.94691387546063,-2.7177891146914717,-1.6069970912421259,-2.7177891146914717
0.24577085385226272,4.285714285714286,-130.45056140734383,-2.6723930274209358,-1.496223010198772,-2.6723930274209358
0.24577085385226272,4.5,-5733.390006083281,-2.641067955648512,-1.783767131673669,-2.641067955648512
0.24577085385226272,4.714285714285714,-5740.197937460362,-2.6235028375816873,-1.7380252997873962,-2.6235028375816873
0.24577085385226272,4.928571428571429,-92.48479089701989,-2.613030270107283,-1.6641756141079431,-2.613030270107283
0.24577085385226272,5.142857142857142,-19.94531419924566,-2.6073551403119595,-1.6471017056521586,-2.6073551403119595
0.24577085385226272,5.357142857142858,-19.418587921301175,-2.6069522365373086,-1.520281589783397,-2.6069522365373086
0.24577085385226272,5.571428571428571,-20.28475415734108,-2.6112397141870383,-1.3725705524246468,-2.6112397141870383
0.24577085385226272,5.785714285714286,-18.33694801574594,-2.6176547702855832,-1.3899873943411734,-2.6176547702855832
0.24577085385226272,6.0,-20.132386338215777,-2.623683392215658,-1.3805575917961648,-2.623683392215658
0.26358033601547015,3.0,-15.091266134089107,-2.257582807240874,-2.8919397225032513,-2.257582807240874
0.26358033601547015,3.2142857142857144,-33.766264501952115,-2.470222468273434,-2.2185615036426025,-2.470222468273434
0.26358033601547015,3.4285714285714284,-3298.939830415514,-2.68766308604447,-1.3498417479766502,-2.68766308604447
0.26358033601547015,3.642857142857143,-69.4050125678011,-2.7802023774483846,-1.226795659150716,-2.7802023774483846
0.26358033601547015,3.857142857142857,-16.985125209478944,-2.780372771800373,-1.5636303985844984,-2.780372771800373
0.26358033601547015,4.071428571428571,-106.20355069457568,-2.7405307076351977,-1.810631074451004,-2.7405307076351977
0.26358033601547015,4.285714285714286,-38.68561849920207,-2.6904566703029267,-1.699244011048614,-2.6904566703029267
0.26358033601547015,4.5,-68.42574384811053,-2.6562601974735225,-1.8266758665492866,-2.6562601974735225
0.26358033601547015,4.714285714285714,-5702.370150111213,-2.637153159337671,-1.9061977689887224,-2.637153159337671
0.26358033601547015,4.928571428571429,-83.47168447436084,-2.6252090912281,-1.5191785388626755,-2.6252090912281
0.26358033601547015,5.142857142857142,-88.4305915717573,-2.6181134500984373,-1.6055347338337664,-2.6181134500984373
0.26358033601547015,5.357142857142858,-19.642788940057578,-2.6170155035544984,-1.4873549827464834,-2.6170155035544984
0.26358033601547015,5.571428571428571,-19.031568320920858,-2.6215887033356786,-1.4639700270940303,-2.6215887033356786
0.26358033601547015,5.785714285714286,-145.6236302578588,-2.6287682473362226,-1.3802607393208173,-2.6287682473362226
0.26358033601547015,6.0,-19.800159403272346,-2.6355464098400043,-1.430841743777924,-2.6355464098400043
0.2813898181786776,3.0,-13.685517909912045,-2.2550357584118776,-3.105784289625388,-2.2550357584118776
0.2813898181786776,3.2142857142857144,-42.372645255789756,-2.480008915315742,-1.9236954275402327,-2.480008915315742
0.2813898181786776,3.4285714285714284,-108.43881280385557,-2.711541015307827,-1.3798117690489338,-2.711541015307827
0.2813898181786776,3.642857142857143,-6855.737644687989,-2.808968438297935,-1.2828901579856862,-2.808968438297935
0.2813898181786776,3.857142857142857,-6392.8235302178955,-2.807991730936084,-1.4778145776425804,-2.807991730936084
0.2813898181786776,4.071428571428571,-169.7377015765022,-2.7649736668485594,-1.7039750970177046,-2.7649736668485594
