A,T,rl_no_obs,smc_no_obs,rl_obs,smc_obs
0.17453292519943295,3.0,-0.8691422945425368,-2.306100723535721,-0.6961786329182467,-2.306100723535721
0.17453292519943295,3.2142857142857144,-0.9891466889676426,-2.4531718166543306,-0.6374373292720175,-2.4531718166543306
0.17453292519943295,3.4285714285714284,-1.0768857347921057,-2.599309806598857,-0.5602674262966284,-2.599309806598857
0.17453292519943295,3.642857142857143,-1.096392757536987,-2.6648588492847263,-0.4677658787125556,-2.6648588492847263
0.17453292519943295,3.857142857142857,-1.0741718312262254,-2.6685035800308468,-0.3973633381983194,-2.6685035800308468
0.17453292519943295,4.071428571428571,-1.041653838164374,-2.6442863736355724,-0.3366059827253151,-2.6442863736355724
0.17453292519943295,4.285714285714286,-1.0184058495616413,-2.6153463466001328,-0.29672272673946937,-2.6153463466001328
0.17453292519943295,4.5,-1.00825260551603,-2.5948000800303435,-0.2652680518981156,-2.5948000800303435
0.17453292519943295,4.714285714285714,-1.0037461346124232,-2.583412564340069,-0.2489195527377609,-2.583412564340069
0.17453292519943295,4.928571428571429,-1.0040136411712302,-2.577924911786587,-0.23501913641164654,-2.577924911786587
0.17453292519943295,5.142857142857142,-1.0084781775551919,-2.576277181885118,-0.22089034501047194,-2.576277181885118
0.17453292519943295,5.357142857142858,-1.0123781149329643,-2.577513902434412,-0.20785670734935716,-2.577513902434412
0.17453292519943295,5.571428571428571,-1.0169739789057683,-2.580724590607697,-0.19495313153311164,-2.580724590607697
0.17453292519943295,5.785714285714286,-1.0219673399665457,-2.584697801039293,-0.18216385706125843,-2.584697801039293
0.17453292519943295,6.0,-1.024406420837203,-2.588333183331067,-0.17324758611939864,-2.588333183331067
0.19234240736264038,3.0,-0.8728712106632567,-2.292424999006751,-0.7983381661787565,-2.292424999006751
0.19234240736264038,3.2142857142857144,-1.0004928546083272,-2.4530215434481244,-0.7263716732952988,-2.4530215434481244
0.19234240736264038,3.4285714285714284,-1.0966889587947037,-2.613391418571385,-0.6393995612061721,-2.613391418571385
0.19234240736264038,3.642857142857143,-1.115197953644941,-2.6845927535271166,-0.5305852570147891,-2.6845927535271166
