,sumr_list
260,-5549.9318993958
261,-5143.038308649469
262,-8050.340189336782
263,-95.8120241857515
264,-2372.4371814485453
265,-1599.4716663837373
266,-2097.316749360246
267,-3629.538258064431
268,-2481.9390691466083
269,-415.0715989367275
270,-1644.4467802340027
271,-1462.066505689131
272,-4274.616079039314
273,-90.3978186787567
274,-2021.2504199561076
275,-2376.06784316857
276,-6935.566832953492
277,-2650.825272178586
278,-3785.8841936377185
279,-2639.1433936609687
280,-469.5099797441809
281,-1668.2352671053397
282,-3044.025443699171
283,-4366.453479875547
284,-967.285746024913
285,-77.4496876908762
286,-1214.0878124676456
287,-3074.4632012642082
288,-4335.334767053014
289,-3625.0589407994103
290,-1172.292384146475
291,-2219.3061584591387
292,-4600.421549659854
293,-1723.6174671478707
294,-6234.023947179844
295,-2680.0151763603562
296,-2134.930286712152
297,-3380.9447821953745
298,-1945.1823268364612
299,-2371.337518563818
300,-2457.1342015682076
301,-1716.8363989960967
302,-3897.1128642229237
303,-9078.08610439051
304,-2342.6013429289305
305,-8896.179529762923
306,-2474.6969857376857
307,-2513.913513728473
308,-6514.84623325968
309,-2284.854243592166
310,-1740.6499271895204
311,-3065.649433865965
312,-2988.714194330263
313,-145.90000000329184
314,-2466.2654518634663
315,-2306.6792376680105
316,-3513.9908502958874
317,-560.5503564184125
318,-1070.618932411764
319,-3167.5911683260065
320,-4450.4802876858585
321,-7802.356442274555
322,-3939.544510764554
323,-3856.5962841640035
324,-916.2849834335691
325,-1820.4663022338598
326,-2064.0000276118653
327,-1071.9257854861346
328,-3606.8722951047985
329,-6432.9102336229
330,-1825.0042508453112
331,-2577.7347197358877
332,-2343.938706073845
333,-3601.5860635538475
334,-611.6812212365903
335,-4285.932392357374
336,-1434.8057966462743
337,-1641.499318435129
338,-1354.5885098129072
339,-378.1061003941474
340,-3201.4961470179346
341,-1174.1961945912194
342,-816.2664205532288
343,-2944.67897995989
344,-4062.6216359209393
345,-4985.379434016507
346,-3679.9144590395445
347,-1080.9439202847213
348,-11984.977462179231
349,-4771.677111074092
350,-6960.804267884958
351,-2583.66052549429
352,-1034.581362972112
353,-5474.399454307056
354,-1584.4764561762452
355,-1331.5702773889236
356,-1104.0070414850939
357,-1369.9602545886737
358,-453.94426257730476
359,-376.6800420823856
360,-4022.5941766496358
361,-3571.248966449037
362,-172.00403202037174
363,-3396.975753939128
364,-628.9249091641589
365,-842.6514815224401
366,-4605.062265570263
367,-4044.743663638892
368,-2386.2243888674434
369,-2939.9253550478334
370,-4201.071898203824
371,-2156.7228202667106
372,-3676.3377425286526
373,-6197.314645334564
374,-2651.686812842529
375,-3346.073550414048
376,-74.67346914051271
377,-124.80543196221979
378,-2514.9125627576486
379,-2178.2322189557262
380,-2093.6398273958152
381,-4645.138403268167
382,-27.29103796101832
383,-351.2653399979737
384,-2295.9673315389705
385,-2381.436295507583
386,-8711.995033916737
387,-3280.1805913377375
388,-4027.4723450264637
389,-2541.622746864975
390,-2291.425929588931
391,-2743.018236588254
392,-3578.688213201143
393,-901.9970816598637
394,-261.5206151407055
395,-4016.1826492435025
396,-627.3813132326364
397,-266.77620649956464
398,-552.0750831502319
399,-2858.831855139098
400,-6920.083304038302
401,-2138.185264028961
402,-6136.065078215611
403,-3124.519253038463
404,-4983.409014934556
405,-715.1291752349366
406,-1978.0104186909373
407,-458.0170223108741
408,-5680.7646899429565
409,-4269.931986306994
410,-2696.9383882704665
411,-2251.108696000647
412,-2327.2029346034356
413,-4227.576074262805
414,-1013.7295072018019
415,-2514.790085775654
416,-2891.9663464871664
417,-6294.449227816059
418,-3619.4778347709907
419,-1444.0910122093649
420,-4314.275071182324
421,-2073.8301355558633
422,-79.11214944760674
423,-2746.5693305381806
424,-1407.8747340081961
425,-3045.4272697794686
426,-5527.993211544853
427,-2370.380464843185
428,-1845.3041809505442
429,-4056.0824822811446
430,-3690.7913639106573
431,-1936.0242909928359
432,-1644.6673120925796
433,-2389.951170838747
434,-3874.982594622063
435,-1908.0806828417674
436,-4733.994088632689
437,-706.57785311429
438,-1330.9894444321146
439,-1118.5417403805388
440,-3622.2196120346402
441,-2009.2209421431564
442,-2907.3264474521156
443,-5520.7160217772835
444,-4083.9758544532842
445,-829.5273487361004
446,-1513.2692818891076
447,-6878.780132163959
448,-3022.929297799872
449,-2602.8631941615035
450,-4498.1468684650035
451,-4756.632103882791
452,-3751.023767114144
453,-5099.398777838519
454,-1446.4390701824098
455,-3112.247161903914
456,-3335.0980221994055
457,-596.5161527150149
458,-2534.347401809267
459,-7060.361622750374
460,-1692.696559283016
461,-1182.5923110770304
462,-4570.2008361497055
463,-1969.4459363388723
464,-2866.154134665337
465,-1258.7570663637234
466,-2300.339636638378
467,-1652.1955635948468
468,-3140.05651369803
469,-7611.738962976568
470,-1323.0927715119326
471,-3908.4026577698655
472,-6536.101505372362
473,-739.1875261497746
474,-916.4574427840637
475,-4151.118431908386
476,-5616.908709799297
477,-3176.570211991264
478,-1407.4300306762723
479,-1546.4256377389295
480,-1099.9752490376554
481,-3607.4739342182984
482,-60.75475267165214
483,-8512.127783477446
484,-3661.068669581215
485,-2152.8758754419027
486,-3315.4935729247486
487,-4627.353073701901
488,-737.1217810706248
489,-1430.1589072235338
490,-135.32113464259498
491,-5683.2416445829085
492,-4837.273722087644
493,-273.32725936576117
494,-271.211096292281
495,-5680.478511402143
496,-2305.0195651419854
497,-2094.969416876884
498,-4895.658061901633
499,-1506.995776355536
500,-3501.88311156256
501,-4616.8047969784875
502,-1148.347441598636
503,-1250.924403448352
504,-6485.015342359841
505,-1323.3313599018545
506,-1587.6928262075166
507,-4648.152473323348
508,-1559.0108702751493
509,-1327.1743356490942
510,-1612.7704186921353
511,-6185.512673223195
512,-2321.1213387748494
513,-325.69170259448936
514,-1951.679259970734
515,-3324.6641361842658
516,-1725.738719311514
517,-1051.4452268346763
518,-3799.985485351056
519,-1038.2658591818788
520,-2966.9692563776957
521,-995.0216287844797
522,-5290.211136592598
523,-128.12513088970053
524,-106.03907681725634
525,-6879.477871155409
526,-388.8169281028957
527,-2851.7511928328577
528,-3276.738705118095
529,-4849.173112787249
530,-3237.9040898386775
531,-10717.404377282957
532,-588.5635377491282
533,-2332.477956056504
534,-913.9424385005162
535,-432.1078907394096
536,-1830.439879270629
537,-2389.9835380342292
538,-3393.452905516422
539,-778.8081387421802
540,-1339.2092907165515
541,-2850.585205882405
542,-832.8727446888413
543,-1329.2107281525937
544,-1815.223070290253
545,-2474.006921858297
546,-2358.379860266457
547,-3888.992023753636
548,-294.1970996288743
549,-1094.0509630376762
550,-1269.7721148493022
551,-2492.6418839583625
552,-885.3953626562926
553,-3325.0472693253632
554,-2807.577140545549
555,-1051.2804684686796
556,-1850.2699990683614
557,-1771.8660652342517
558,-6939.029114446092
559,-4303.40041607495
560,-968.205875236826
561,-424.3077556171312
562,-557.796650487652
563,-5739.4283792439
564,-3672.8927634964093
565,-3604.9836176441354
566,-1294.138238142615
567,-3421.0686919323857
568,-2183.5543857245643
569,-1855.5767809274205
570,-1412.3650492913614
571,-3874.9260210172943
572,-606.695497785538
573,-2032.4895914758906
574,-3362.8174386218575
575,-3706.5917667514072
576,-131.72207823771524
577,-4264.4000530046615
578,-7794.640515691885
579,-1396.6793674764099
580,-3428.7179245331686
581,-997.0041795781565
582,-2400.217114766137
583,-1069.9355814126934
584,-2571.299342813883
585,-979.4210454696383
586,-5997.116638614794
587,-3388.7303985805556
588,-420.4619476875886
589,-6496.166032792398
590,-7094.850232056113
591,-8312.156255960112
592,-5906.768631314153
593,-3884.7126831911405
594,-3326.2665682480997
595,-3134.684465748432
596,-3580.456570756145
597,-341.81041719342426
598,-4424.969239373077
599,-5214.208179839281
600,-2731.4332274848625
601,-1542.0015192980236
602,-3176.8415256484077
603,-2726.0079501457244
604,-1171.842249660637
605,-868.66530995294
606,-2215.4501315996226
607,-2131.8024447936546
608,-3413.6450051506936
609,-1273.4143357761836
610,-446.49621034141694
611,-2568.2153040458275
612,-860.1038158780509
613,-154.27628630437593
614,-2674.954598324278
615,-3367.9278298832737
616,-1324.71779976644
617,-2254.440417185889
618,-1158.1973915344945
619,-1376.0713950172963
620,-4904.332474456629
621,-6268.465044984273
622,-2574.0651603689494
623,-310.65528862584705
624,-2465.874973990202
625,-4497.840345799894
626,-6076.994759898324
627,-2492.8901020905255
628,-4606.857767969233
629,-5528.6052679248105
630,-8335.874692352561
631,-7798.427877271034
632,-6042.9662627146545
633,-970.9187182267322
634,-2628.516446026281
635,-4552.285117265849
636,-4051.245064250853
637,-6174.964261763868
638,-5048.485433203705
639,-149.41534748951298
640,-711.5913939176464
641,-629.2327857911126
642,-640.3968586815522
643,-1568.9825355735127
644,-1784.7381614036237
645,-453.80008729904534
646,-2169.5037822295517
647,-4974.040577720576
648,-281.92236696432366
649,-3571.2075534345277
650,-4270.6412461703085
651,-1001.5392869550975
652,-1256.828389210975
653,-1829.5584613544072
654,-72.31751688380774
655,-5151.435468817019
656,-536.486349690128
657,-2238.731718800525
658,-1863.9924600389186
659,-818.0051482072105
660,-2656.587565548426
661,-7132.38051311067
662,-3454.043979145955
663,-414.30152519076574
