,sumr_list
90,-1359.412472559665
91,-1016.8850474262149
92,-713.4296764744082
93,-745.3087424065726
94,-2480.317660029048
95,-697.4348652644754
96,-1559.721300266725
97,-1784.224204465996
98,-3030.3161776188836
99,-1638.8584491522581
100,-327.10415040577243
101,-1405.886131271874
102,-2597.8317833282777
103,-2693.256479917002
104,-4812.238395393114
105,-426.32957484920684
106,-1087.0317242726856
107,-2683.7168739312665
108,-1086.639769939517
109,-3012.7745248156357
110,-345.170803062433
111,-401.3703356170116
112,-2969.024813763477
113,-7175.765416688345
114,-2012.0439971260453
115,-4729.955016865673
116,-4408.515185673363
117,-1786.270523013627
118,-432.594179916824
119,-715.411151040769
120,-1838.1415599998993
121,-2639.2101314332735
122,-3391.021166028813
123,-1466.476171295765
124,-4672.1580574738255
125,-1064.2364618500524
126,-3632.709118724145
127,-1586.769072306648
128,-3217.0520535272567
129,-5472.638619816569
130,-3343.020837062862
131,-2095.86516802276
132,-3153.344733655736
133,-6152.052935799276
134,-856.8963483985779
135,-4682.698525905869
136,-1111.9367052336133
137,-4594.114850742907
138,-529.1517155742118
139,-4947.780782462849
140,-3863.1652915988634
141,-4294.893839461685
142,-1697.7973276710306
143,-868.4822452770143
144,-3451.332776671536
145,-7501.996641705628
146,-517.9300820371982
147,-1648.2383743758744
148,-5796.347413851671
149,-1801.5223875991753
150,-1207.2196080155438
151,-2551.7892403122073
152,-847.1573925775169
153,-4566.5101305130165
154,-3589.0744984096355
155,-1555.3543589652645
156,-807.7929752111987
157,-65.04061787807356
158,-3252.51264928422
159,-2332.1064513593374
160,-2041.822418249026
161,-1138.3056842974054
162,-7115.87855171331
163,-3848.6979753700166
164,-1412.1920942640595
165,-1375.0198278792616
166,-2112.969173297516
167,-2767.391051230305
168,-1397.2692625008801
169,-178.7907690562379
170,-2889.0147739509966
171,-4581.920689959494
172,-1894.3018710159283
173,-3280.1425625575484
174,-439.5748462811083
175,-3664.0928383643027
176,-268.123547150468
177,-4030.983275764837
178,-210.1130277075348
179,-4817.284082479799
180,-668.9528958316474
181,-1345.719436850369
182,-198.59892746549298
183,-6648.098640010453
184,-1536.2385692651512
185,-2686.7464237285494
