A,T,r1,r2
-4.0,-4.0,-1796.2117421660234,-1717.4746586302322
-4.0,-3.111111111111111,-1508.5822836046086,-1425.6200619203066
-4.0,-2.2222222222222223,-1317.0554327834707,-1205.596459970514
-4.0,-1.3333333333333335,-1181.1153227730647,-1071.2251441738354
-4.0,-0.44444444444444464,-1142.2284628811863,-1002.8952753078563
-4.0,0.44444444444444464,-1176.2926347870089,-1002.1705377083841
-4.0,1.333333333333333,-1273.5920540227864,-1065.0106457422378
-4.0,2.2222222222222214,-1475.1373126250514,-1194.900900243912
-4.0,3.1111111111111107,-1807.744983252526,-1408.2492201988857
-4.0,4.0,-2337.944367717881,-1694.2011269599745
-3.111111111111111,-4.0,-1464.1056435274022,-1394.4938542753182
-3.111111111111111,-3.111111111111111,-1183.432368005101,-1114.9855334033527
-3.111111111111111,-2.2222222222222223,-980.6390044507641,-900.7858925542172
-3.111111111111111,-1.3333333333333335,-840.9494331545059,-771.7922877546225
-3.111111111111111,-0.44444444444444464,-793.3362725085113,-706.2148331742959
-3.111111111111111,0.44444444444444464,-812.5908021160683,-705.4666353222904
-3.111111111111111,1.333333333333333,-902.5487969782629,-765.7891536485638
-3.111111111111111,2.2222222222222214,-1114.929191226036,-890.6182690775789
-3.111111111111111,3.1111111111111107,-1413.127973512077,-1098.0682525844463
-3.111111111111111,4.0,-1897.3402822733494,-1393.3902824942434
-2.2222222222222223,-4.0,-1219.6371419784143,-1168.1688847658322
-2.2222222222222223,-3.111111111111111,-937.5588242424272,-884.393034800981
-2.2222222222222223,-2.2222222222222223,-732.2044654774422,-681.5751949306639
-2.2222222222222223,-1.3333333333333335,-590.3672981068448,-554.2285644627993
-2.2222222222222223,-0.44444444444444464,-532.4973700976614,-488.1929762296254
-2.2222222222222223,0.44444444444444464,-543.9062142147029,-487.45335344713004
-2.2222222222222223,1.333333333333333,-628.212335286408,-549.5475427170531
-2.2222222222222223,2.2222222222222214,-832.4756374928372,-672.5302660197721
-2.2222222222222223,3.1111111111111107,-1136.3268678129975,-868.4957279485559
-2.2222222222222223,4.0,-1589.5316054910834,-1173.1837801021231
-1.3333333333333335,-4.0,-1063.4873183362085,-1026.0969069235387
-1.3333333333333335,-3.111111111111111,-778.1586212151154,-738.030769304767
-1.3333333333333335,-2.2222222222222223,-568.5273453037647,-535.3742289018321
-1.3333333333333335,-1.3333333333333335,-424.7682109690465,-405.8081306193564
