A,T,rl_no_obs,smc_no_obs,rl_obs,smc_obs
0.10416666666666667,5.206896551724138,-8777.206467058637,-10448.728012821115,-7910.531381393382,-10825.215945092119
0.10416666666666667,5.310344827586207,-8770.670896640195,-10450.509634797761,-7912.623046364867,-10830.26997613395
0.10416666666666667,5.413793103448276,-8770.091632048532,-10452.088108816679,-7912.343469689986,-10834.339074163383
0.10416666666666667,5.517241379310345,-8772.099294169833,-10453.029860196339,-7913.6603248209685,-10837.443357122216
0.10416666666666667,5.620689655172414,-8780.208073777103,-10452.567097186446,-7915.187145197845,-10838.78794844377
0.10416666666666667,5.724137931034483,-8801.661574524142,-10452.385718874644,-7915.386915238404,-10840.079515529844
0.10416666666666667,5.827586206896552,-8803.334476390588,-10452.942717953272,-7916.927565030918,-10841.329453545184
0.10416666666666667,5.931034482758621,-8804.999017355822,-10452.089026172362,-7917.720559550173,-10842.511840568808
0.10416666666666667,6.0344827586206895,-8806.731932803257,-10452.281802438922,-7917.832614203711,-10843.540190350823
0.10416666666666667,6.137931034482759,-8804.650639358357,-10454.458770885334,-7920.215291725615,-10844.506647361273
0.10416666666666667,6.241379310344827,-8808.211007763015,-10456.70239601695,-7920.933688686482,-10845.218589919685
0.10416666666666667,6.344827586206897,-8812.296544221783,-10456.945489528995,-7922.182443801994,-10843.401909365715
0.10416666666666667,6.448275862068965,-8816.695911885881,-10457.067048031351,-7921.843239650043,-10841.92710336718
0.10416666666666667,6.551724137931035,-8820.621393628073,-10457.178550964336,-7922.119530015463,-10842.776288968296
0.10416666666666667,6.655172413793103,-8822.398882222948,-10457.334797095955,-7922.139564337392,-10843.562257757625
0.10416666666666667,6.758620689655173,-8824.415396660392,-10457.554660492375,-7922.063646540372,-10844.312092526774
0.10416666666666667,6.862068965517241,-8827.555222011995,-10457.767796896218,-7929.8971983041165,-10845.02518618438
0.10416666666666667,6.9655172413793105,-8840.770640870169,-10457.97613010155,-7929.808701151863,-10845.748221433943
0.10416666666666667,7.068965517241379,-8812.494935797227,-10458.1814521817,-7929.740210683755,-10846.577385103717
0.10416666666666667,7.172413793103448,-8814.879479216781,-10458.38462983366,-7929.753564539773,-10800.9315238641
0.10416666666666667,7.275862068965518,-8814.571120169257,-10458.810033384436,-7929.765092617581,-10801.682035754604
0.10416666666666667,7.379310344827586,-8816.352709116189,-10458.890164416032,-7929.592164656951,-10802.327276498283
0.10416666666666667,7.482758620689655,-8818.052888724967,-10459.022933515287,-7929.709209453217,-10802.868892922885
0.10416666666666667,7.586206896551724,-8819.6806995202,-10459.052803103066,-7921.2127332504015,-10803.407289499974
0.10416666666666667,7.689655172413794,-8821.242624755212,-10459.06566916684,-7920.972337990526,-10803.934697146671
0.10416666666666667,7.793103448275862,-8822.745773479333,-10459.801453513133,-7921.630607464884,-10804.452267938503
0.10416666666666667,7.896551724137931,-8824.191034042125,-10461.181686759712,-7922.543052270331,-10804.964500196835
0.10416666666666667,8.0,-8825.576238951246,-10461.798711974901,-7922.321603926492,-10805.538723354864
0.20833333333333334,5.0,-8921.090507275389,-10681.59861880048,-8056.837017896132,-11016.125640548626
0.20833333333333334,5.103448275862069,-8918.080955991287,-10681.944064576794,-8057.479238776378,-11019.916916862116
0.20833333333333334,5.206896551724138,-8924.979902348567,-10682.728966855202,-8057.168888668449,-11032.680796934736
0.20833333333333334,5.310344827586207,-8956.2043755738,-10683.630357045688,-8058.794941740579,-11041.340266404757
0.20833333333333334,5.413793103448276,-8939.667611236073,-10683.581844171817,-8059.409199962215,-11043.208869785134
0.20833333333333334,5.517241379310345,-8943.034171500916,-10682.94400677706,-8060.361234268818,-11043.968945196415
0.20833333333333334,5.620689655172414,-8944.708078367586,-10683.659313224187,-8061.232502599159,-11048.007314450238
0.20833333333333334,5.724137931034483,-8946.09905072043,-10684.841210719675,-8061.8802540309525,-11052.536257320491
0.20833333333333334,5.827586206896552,-8949.489037253945,-10654.938872699864,-8063.567703635742,-11056.779106162177
0.20833333333333334,5.931034482758621,-8952.440809269752,-10656.042891031753,-8063.2083167190085,-11061.00792894853
0.20833333333333334,6.0344827586206895,-8952.273246115716,-10656.622791323583,-8063.143972176901,-11059.65966855757
0.20833333333333334,6.137931034482759,-8948.76856157253,-10657.618650264534,-8062.6412065863415,-11062.925808077262
0.20833333333333334,6.241379310344827,-8953.58449796171,-10658.583217346786,-8064.371666885258,-11066.854030616554
0.20833333333333334,6.344827586206897,-8954.328308161956,-10654.97538347724,-8062.888952889367,-11071.302715769609
0.20833333333333334,6.448275862068965,-8959.009284602937,-10653.361582894375,-8063.771296903808,-11075.510116241841
0.20833333333333334,6.551724137931035,-8963.216524164873,-10653.57396980338,-8064.512093923335,-11081.200082299818
0.20833333333333334,6.655172413793103,-8966.783058278786,-10654.776286892049,-8065.080311658315,-11087.609323233844
0.20833333333333334,6.758620689655173,-8973.78332370396,-10655.925328456036,-8066.04870612696,-11083.736684103733
0.20833333333333334,6.862068965517241,-8979.651801608854,-10657.272644631634,-8065.8472089948145,-11086.94773557828
0.20833333333333334,6.9655172413793105,-9006.050349625506,-10659.345306818386,-8067.271747384184,-11090.486851700225
0.20833333333333334,7.068965517241379,-9009.626608736962,-10660.911635585022,-8074.974943434568,-11092.279193241728
0.20833333333333334,7.172413793103448,-9011.57357739524,-10662.25127589725,-8076.1490627254125,-11094.126277009374
0.20833333333333334,7.275862068965518,-9015.389191882363,-10663.04164183508,-8076.531691735823,-11095.932692244995
0.20833333333333334,7.379310344827586,-9020.825913778503,-10663.083175961367,-8076.706688076966,-11097.55497722068
0.20833333333333334,7.482758620689655,-9024.165022076253,-10662.852022242478,-8065.8196502903975,-11098.978013836691
0.20833333333333334,7.586206896551724,-9035.177013608018,-10662.645846368163,-8066.622572417826,-11100.093676159524
0.20833333333333334,7.689655172413794,-9037.708233485242,-10662.497160866216,-8067.382735612594,-11096.256129094056
0.20833333333333334,7.793103448275862,-9040.191589896325,-10662.285460336547,-8066.95467924323,-11097.522416199481
0.20833333333333334,7.896551724137931,-9042.198077383518,-10662.236261384634,-8067.112492113005,-11098.722571162387
0.20833333333333334,8.0,-9044.078909849426,-10660.955712109235,-8067.8631024881615,-11099.855624627098
0.3125,5.0,-9062.993915001298,-10926.202818699396,-8215.40968331825,-11266.456227079949
0.3125,5.103448275862069,-9071.32307113704,-10930.193678131092,-8219.217609498943,-11281.33978812245
0.3125,5.206896551724138,-9075.10679133417,-10895.255579452554,-8218.055775979949,-11290.168811367575
0.3125,5.310344827586207,-9080.537310896798,-10897.74182428927,-8217.188292198154,-11300.596765395858
0.3125,5.413793103448276,-9087.164016044671,-10898.15066884353,-8217.928927037898,-11310.625835072911
0.3125,5.517241379310345,-9079.833978006023,-10903.58185509706,-8216.856933262794,-11316.299737318317
0.3125,5.620689655172414,-9082.898042143395,-10907.319095204908,-8216.448829208555,-11327.219028485093
0.3125,5.724137931034483,-9098.861560163597,-10910.574041075939,-8216.69231192615,-11333.193268017472
0.3125,5.827586206896552,-9095.94929040949,-10913.338050505417,-8215.591794517262,-11337.962039165743
0.3125,5.931034482758621,-9099.28854183806,-10916.72705070763,-8215.683833876905,-11282.922879309344
0.3125,6.0344827586206895,-9115.972482049276,-10914.074845646734,-8215.688981728013,-11289.453815963094
0.3125,6.137931034482759,-9115.102387840432,-10917.639834918384,-8215.437329881965,-11294.585164334889
0.3125,6.241379310344827,-9112.993531452474,-10918.397810287508,-8215.698118298338,-11297.471919166168
0.3125,6.344827586206897,-9114.040308151645,-10919.973017583614,-8215.210010251949,-11298.80514864612
0.3125,6.448275862068965,-9115.580604678578,-10920.914558106444,-8220.158370042738,-11299.75741589007
0.3125,6.551724137931035,-9118.743615312836,-10920.22740318345,-8220.826987627832,-11302.857017343902
0.3125,6.655172413793103,-9121.425043560614,-10921.383376046646,-8219.678940352433,-11305.396497475704
0.3125,6.758620689655173,-9112.310080284666,-10921.27712117297,-8220.86656435139,-11307.905430332617
0.3125,6.862068965517241,-9115.113947903827,-10876.157348343115,-8221.96596016684,-11313.00052593582
0.3125,6.9655172413793105,-9118.56874140669,-10875.05651653289,-8220.739779400692,-11306.294215423663
0.3125,7.068965517241379,-9118.122746221074,-10876.88993878389,-8222.645011556522,-11314.153239683159
0.3125,7.172413793103448,-9154.805404821453,-10876.51341485914,-8231.19837601134,-11315.852195504884
0.3125,7.275862068965518,-9156.013905975424,-10875.007205218932,-8232.352934688108,-11317.393723122816
0.3125,7.379310344827586,-9157.127151217175,-10876.34786722444,-8219.174325775373,-11318.39384088256
0.3125,7.482758620689655,-9170.770767322929,-10873.440065659974,-8219.039968971192,-11319.335945290426
0.3125,7.586206896551724,-9188.788539902687,-10872.45740545718,-8218.884515106132,-11319.027866532122
0.3125,7.689655172413794,-9193.131568854802,-10872.05753006339,-8218.988667291575,-11315.717266575628
0.3125,7.793103448275862,-9190.221702087547,-10871.771370399783,-8218.838073829367,-11316.806975912818
0.3125,7.896551724137931,-9195.186987196344,-10871.450354103614,-8218.076542177789,-11318.117674085786
0.3125,8.0,-9200.226320474554,-10871.709435649676,-8217.85000930692,-11319.318387953255
0.4166666666666667,5.0,-9312.90854455501,-11132.593849425015,-8372.720959207118,-11506.907050952635
0.4166666666666667,5.103448275862069,-9318.946551524223,-11133.965653584986,-8369.725752244267,-11516.226653184389
0.4166666666666667,5.206896551724138,-9236.41106516608,-11135.195945391377,-8374.173404855252,-11488.466633807115
0.4166666666666667,5.310344827586207,-9228.839854254988,-11142.722291338403,-8373.284452046799,-11501.812633751515
0.4166666666666667,5.413793103448276,-9242.793812644197,-11144.335971951201,-8371.430115781506,-11509.571744441942
0.4166666666666667,5.517241379310345,-9246.572628197226,-11142.821209083679,-8372.523895343504,-11516.02384391717
0.4166666666666667,5.620689655172414,-9250.513515171495,-11150.029982985843,-8373.011916841127,-11527.314552164282
0.4166666666666667,5.724137931034483,-9255.407674232334,-11154.162075354609,-8372.110240598515,-11532.849187365922
0.4166666666666667,5.827586206896552,-9258.046582041452,-11113.181510707558,-8373.158695938826,-11539.495575169462
0.4166666666666667,5.931034482758621,-9248.636867709927,-11116.82552803915,-8374.565000273678,-11546.101791402214
0.4166666666666667,6.0344827586206895,-9255.698041285943,-11120.377483953187,-8376.730138544232,-11550.933157446696
0.4166666666666667,6.137931034482759,-9260.84618655143,-11121.165976610495,-8376.405772586086,-11555.12158533621
0.4166666666666667,6.241379310344827,-9266.913299418095,-11123.407835828742,-8375.97589370739,-11564.160978923512
0.4166666666666667,6.344827586206897,-9278.969513688155,-11124.514050337784,-8376.367385531774,-11569.799068686338
0.4166666666666667,6.448275862068965,-9279.258110688306,-11124.777541543568,-8375.987696350852,-11571.120669751199
0.4166666666666667,6.551724137931035,-9282.49065651648,-11126.721664430397,-8376.16478816588,-11574.91420261751
0.4166666666666667,6.655172413793103,-9299.638350917276,-11131.800075481102,-8375.368560459514,-11527.51850464096
0.4166666666666667,6.758620689655173,-9292.365675137258,-11133.77097887517,-8375.391100584027,-11524.051908340029
0.4166666666666667,6.862068965517241,-9278.789099626885,-11134.069710583706,-8375.578159941486,-11526.588279631003
0.4166666666666667,6.9655172413793105,-9292.125872441919,-11136.979502874872,-8376.392979851744,-11528.524170961618
0.4166666666666667,7.068965517241379,-9293.757793894249,-11136.727908928648,-8377.208804241636,-11531.684999692226
0.4166666666666667,7.172413793103448,-9271.23947472055,-11137.728036328843,-8385.32250406965,-11536.517679271423
0.4166666666666667,7.275862068965518,-9322.264039908703,-11138.89321997508,-8387.106788404904,-11534.743164182768
0.4166666666666667,7.379310344827586,-9323.593372167212,-11137.894485466044,-8388.18248908579,-11537.47428285863
0.4166666666666667,7.482758620689655,-9325.796423878593,-11139.271952010775,-8388.637117733471,-11538.520510608489
0.4166666666666667,7.586206896551724,-9350.700936691459,-11141.079297056453,-8390.663801852717,-11538.189523342102
0.4166666666666667,7.689655172413794,-9352.556543172655,-11137.22847774531,-8392.33876794852,-11539.600920415938
0.4166666666666667,7.793103448275862,-9355.585437837515,-11097.927181853895,-8393.138565425154,-11538.771741182081
0.4166666666666667,7.896551724137931,-9360.534819255083,-11097.092804979493,-8395.626537240114,-11537.776908932263
0.4166666666666667,8.0,-9362.671347486577,-11098.976409436627,-8393.993264395778,-11539.463014229774
0.5208333333333334,5.0,-9503.97912593831,-11380.859720812476,-8560.200495408468,-11704.604583871429
0.5208333333333334,5.103448275862069,-9504.203445225801,-11396.692734950622,-8554.110540416745,-11715.264707827944
0.5208333333333334,5.206896551724138,-9507.897715928044,-11395.69969066054,-8549.14636349423,-11731.476183175242
0.5208333333333334,5.310344827586207,-9512.418937745319,-11394.706975805782,-8530.994929076634,-11737.135286426012
0.5208333333333334,5.413793103448276,-9485.01659905659,-11356.069195641225,-8530.388254329986,-11746.825691602426
0.5208333333333334,5.517241379310345,-9500.032903868329,-11361.499460205836,-8532.067634158631,-11764.728546589797
0.5208333333333334,5.620689655172414,-9505.26984432146,-11361.214715591565,-8531.74005590994,-11771.093786537389
0.5208333333333334,5.724137931034483,-9443.11587748904,-11360.857831896066,-8531.658887452246,-11744.361596434266
0.5208333333333334,5.827586206896552,-9432.466699566998,-11362.871972985558,-8530.782721987354,-11752.005263243178
0.5208333333333334,5.931034482758621,-9445.556893293537,-11366.741475737479,-8530.545388565917,-11755.098527488059
0.5208333333333334,6.0344827586206895,-9448.983821790385,-11370.47152921019,-8530.365850416143,-11763.013576116968
0.5208333333333334,6.137931034482759,-9450.661150484993,-11371.159226695287,-8534.220893512225,-11769.172984130204
0.5208333333333334,6.241379310344827,-9450.985139783506,-11375.073711394827,-8539.102801863977,-11778.108787171255
0.5208333333333334,6.344827586206897,-9439.996124724932,-11376.0753691265,-8545.027349659416,-11782.76237299807
0.5208333333333334,6.448275862068965,-9442.142707573052,-11331.015441049954,-8540.90603800065,-11784.317640207977
0.5208333333333334,6.551724137931035,-9448.279869663747,-11333.14587907327,-8562.21994729975,-11791.780285840738
0.5208333333333334,6.655172413793103,-9453.0522360401,-11338.113763453906,-8564.494217994406,-11796.387977370769
0.5208333333333334,6.758620689655173,-9453.80862786796,-11342.5655590487,-8564.502001637553,-11797.53579281892
0.5208333333333334,6.862068965517241,-9460.483411956795,-11342.943978186628,-8567.565281883559,-11804.08965228636
0.5208333333333334,6.9655172413793105,-9475.062751911833,-11342.05350315497,-8571.492010829324,-11809.117051142062
0.5208333333333334,7.068965517241379,-9449.362198545163,-11343.200742533616,-8577.409834766237,-11808.899762836449
0.5208333333333334,7.172413793103448,-9454.358328335935,-11345.67632423254,-8565.973255609657,-11815.213057793942
0.5208333333333334,7.275862068965518,-9457.219706888456,-11346.61337092169,-8566.628781377762,-11760.207886497714
0.5208333333333334,7.379310344827586,-9507.825521066674,-11349.096967531801,-8568.985257251064,-11752.586448304339
0.5208333333333334,7.482758620689655,-9511.095040836848,-11347.673892672743,-8570.291655782044,-11758.925453547263
0.5208333333333334,7.586206896551724,-9513.119396837152,-11347.164328167419,-8570.860585976425,-11760.621965274577
0.5208333333333334,7.689655172413794,-9516.429968814613,-11350.454150182235,-8571.620658246688,-11762.273151834024
0.5208333333333334,7.793103448275862,-9518.659791346952,-11352.01328094177,-8572.744668075655,-11762.142638107098
0.5208333333333334,7.896551724137931,-9528.820274559235,-11351.997946570942,-8573.948002418789,-11762.045514814781
0.5208333333333334,8.0,-9528.288469387086,-11352.349221534301,-8574.677895616296,-11762.826008132328
0.625,5.0,-9667.5224221768,-11669.83445616736,-8735.795003015426,-11939.461234453831
0.625,5.103448275862069,-9680.44808971318,-11681.023491308653,-8726.45202111676,-11953.52404114907
0.625,5.206896551724138,-9682.702499214656,-11647.181428884856,-8720.3901763193,-11978.174370520419
0.625,5.310344827586207,-9692.70847751991,-11651.641020886977,-8719.610768343202,-11957.95539466462
0.625,5.413793103448276,-9700.11326691432,-11653.679650557506,-8718.58737319985,-11971.350305491478
0.625,5.517241379310345,-9707.505270337175,-11650.889604971015,-8717.144023556946,-11981.006858815363
0.625,5.620689655172414,-9700.760147143325,-11644.409485193743,-8701.302469052518,-11988.546369042746
0.625,5.724137931034483,-9684.461342027429,-11641.478003178912,-8706.491964200652,-11995.088289682262
0.625,5.827586206896552,-9688.879253758883,-11638.987068770472,-8714.064783780193,-12006.219152396226
0.625,5.931034482758621,-9750.893365499625,-11593.69631224969,-8718.420015499873,-12017.746173323114
0.625,6.0344827586206895,-9756.251813787676,-11587.350811987164,-8716.660052406358,-12027.297340946656
0.625,6.137931034482759,-9759.286419733595,-11587.024554743666,-8721.095074757117,-12031.265316453848
0.625,6.241379310344827,-9636.68138659303,-11592.115427495104,-8734.57575931604,-11998.036157164639
0.625,6.344827586206897,-9648.137216687624,-11592.261410041598,-8742.142443972987,-12004.605333389334
0.625,6.448275862068965,-9650.376840927998,-11588.025077205402,-8743.314743165001,-12006.382923476465
0.625,6.551724137931035,-9637.940068780072,-11594.104607132866,-8743.407811613322,-12010.575550990274
0.625,6.655172413793103,-9638.210990518932,-11597.74183803123,-8736.81300315639,-12016.006640576483
0.625,6.758620689655173,-9643.990117358098,-11595.615521149999,-8738.790036250897,-12022.022258854624
0.625,6.862068965517241,-9650.181618852332,-11598.418725509406,-8737.845802117883,-12028.293531499326
0.625,6.9655172413793105,-9652.201352742251,-11553.634214052207,-8739.094868327396,-12029.100175878208
