,sumr_list
158,-2968.447475170597
159,-3862.7586936845687
160,-15914.117040692934
161,-7359.7065874919
162,-2689.48022185769
163,-6030.24943985772
164,-3756.6833516453044
165,-3085.8099842595248
166,-4206.557071270468
167,-6977.092696260836
168,-2380.8074174180188
169,-14329.229495818212
170,-1199.320269246082
171,-3133.321762178334
172,-8147.022481185482
173,-14598.028995790784
174,-3599.905537948011
175,-3787.5788037835214
176,-2977.9353385848253
177,-4831.553847361649
178,-1591.9209613322485
179,-5720.971427854291
180,-4826.179965201755
181,-2029.6851326740016
182,-4552.04452385615
183,-6918.375122672052
184,-4308.759618421
185,-3316.530579426251
186,-8927.560718816938
187,-3901.2948091574112
188,-140651.88328803942
189,-2032.8751140037966
190,-4207.37636024704
191,-5960.076518543484
192,-5464.013305556009
193,-9450.910219160645
194,-6616.941163196578
195,-7223.982391285871
196,-2720.994317505771
197,-3172.26946404788
198,-8638.282629653922
199,-3441.560178378638
200,-11114.148923925599
201,-2718.3712381383393
202,-6823.310781271234
203,-2446.819283550088
204,-2593.3032105625066
205,-2386.7532947536392
206,-4332.095865911215
207,-622.6391903214919
208,-4065.4935963598473
209,-5665.298710447484
210,-2597.135651730823
211,-4646.856366871744
212,-1496.0330465865366
213,-923.981148752034
214,-1826.051506081597
215,-795.5596437188578
216,-3106.233963096766
217,-4633.972584535586
218,-2075.802331777706
219,-1013.1194162333062
220,-3535.541066836696
221,-1812.6368834637983
222,-2004.2752168468278
223,-1881.3485061278182
224,-6852.2894155252625
225,-2367.0550346002515
226,-2610.4759408246096
227,-2530.7284309896677
228,-4632.874412924848
229,-3643.095360970285
230,-2968.0762442539476
231,-1439.5866541250969
232,-1352.9243136933542
233,-12303.084348748036
234,-1717.7199022716225
235,-309.8152302654733
236,-2644.144793439682
237,-1688.3250021667911
238,-675.0057553534793
239,-4526.249043137185
240,-1759.4943846869382
241,-661.5560607735407
242,-2069.2051461078745
243,-3034.302264252543
244,-591.5056717381551
245,-1192.6359210876622
246,-1362.8038312641504
247,-1238.4380721766913
248,-1942.605882205322
249,-2355.3077753191337
250,-1787.9359904423084
251,-1785.3901840953947
252,-94.26687396590371
253,-1097.7667090509608
254,-1693.6679303097953
255,-3949.65041548088
256,-4445.094117696891
257,-728.7862602272088
258,-3928.2177745396393
259,-1980.358052754609
260,-1697.7423743973136
261,-1666.7348486519936
262,-6926.638183129569
263,-1909.3333416390428
264,-3225.481173733543
265,-1427.801148769817
266,-813.2059848784719
267,-1287.7631403611158
268,-2015.237433084185
269,-693.8921154484065
270,-1504.4545009626977
271,-974.1714539843956
272,-1526.1428252263038
273,-1464.696358894357
274,-1699.150318430803
275,-2621.6741474781224
276,-1682.8263498777428
277,-3953.5473340075146
278,-846.0059451464392
279,-1449.793219391767
280,-2585.548041073667
281,-3674.823923931468
