,sumr_list
334,-9.24889788879134
335,-20.939004718610253
336,-17.999231984454415
337,-8.732142457914577
338,-11.619359345595162
339,-10.983079589265849
340,-17.20705115883137
341,-11.570134571245218
342,-23.521162720336076
343,-21.84323970187332
344,-9.714745760793791
345,-25.573707268732814
346,-12.942496443332194
347,-13.904970013918723
348,-13.146800723115756
349,-16.010754609470684
350,-24.488361055109653
351,-23.14793927308735
352,-11.310162872572445
353,-23.67447486090683
354,-20.253988924993873
355,-10.376438888317107
356,-13.968257465932362
357,-14.58552751687405
358,-14.998186068621068
359,-20.80746969650815
360,-18.849215403310353
361,-15.792408959940092
362,-9.649675808348933
363,-20.993705445095067
364,-14.621725071933115
365,-20.566524811916658
366,-13.821174120080464
367,-21.994811861551824
368,-11.436549029040762
369,-19.23838751160512
370,-11.083131940644828
371,-15.544385275355836
372,-22.518212355811052
373,-11.722419141521804
374,-19.078245236037837
375,-16.39184462379113
376,-19.953787205832867
377,-22.099508953955745
378,-12.575617153946029
379,-27.633403692128784
380,-14.677996005149595
381,-15.084676622246333
382,-19.060438272289616
383,-17.056586818805986
384,-11.11758204409795
385,-22.280797013428863
386,-14.646065326675322
387,-15.030495899344128
388,-17.126272661953326
389,-16.101827878253186
390,-26.12516763670134
391,-11.076240011702492
392,-24.75495351177341
393,-16.52922336838459
394,-33.21704872822884
395,-22.933618748503534
396,-23.20198702456505
397,-9.547057940099775
398,-18.383550069608035
399,-24.250202210851
400,-25.667007225059567
401,-11.9845977892588
402,-16.718494432703782
403,-27.244995038328987
404,-13.467528460381047
405,-12.339892504487134
406,-10.032361483336869
407,-14.518440122358804
408,-8.531080580925147
409,-21.050205383499488
410,-15.925609349621872
411,-27.619773500590025
412,-13.897678517704358
413,-17.348952273878876
414,-14.248479108491907
415,-19.867552744465623
416,-11.370557240393518
417,-13.853314995721618
418,-13.793678613468911
419,-17.543634037767532
420,-13.23002812407815
421,-17.619338466209044
422,-15.79834273005687
423,-21.53429269569237
424,-10.889416018753924
425,-23.978066595801224
426,-18.098452763307385
427,-11.47030229016215
428,-13.889049518792834
429,-21.63026387735359
430,-20.936207891189447
431,-21.430589552244953
432,-10.707337873351271
433,-17.183404544122155
434,-13.320756902273994
435,-15.247192321717558
436,-17.352087594211895
437,-15.64172409161869
438,-22.279185039095548
439,-15.15082798775439
440,-11.598982099103447
441,-10.023115027233365
442,-13.411668472929886
443,-15.944798574646933
444,-14.611390856750827
445,-23.353830773888365
446,-17.14812739600262
447,-18.73959590694007
448,-18.488594862540307
449,-18.59154532690935
450,-14.59943629729351
451,-12.41661169827266
452,-18.220843494582176
453,-21.672050176991483
454,-18.540905497647813
455,-25.7267614542623
456,-13.278663301796778
457,-18.22771199550146
458,-12.437555265366392
459,-21.94861810968913
460,-17.329871386316203
461,-13.022590223425993
462,-10.390898460930623
463,-27.659299806640632
464,-15.547671496599847
465,-26.179261378481176
466,-21.937716366122384
467,-16.918054951036698
468,-10.86267597396838
469,-15.797851929982253
470,-9.054313305587565
471,-23.59123615860578
472,-24.027615852201752
473,-11.866088842872221
474,-12.316981462494521
475,-11.761667514020933
476,-20.220798269975266
477,-20.33641148433864
478,-15.474209576622044
479,-20.176760631043894
480,-16.541349690197233
481,-10.895285558884755
482,-25.769586544978633
483,-21.022420866643582
484,-22.84930881272597
485,-8.844789426121853
486,-11.349345599021694
487,-19.55020378044901
488,-8.22954871143942
489,-22.353116029107404
